inv_id,source_type,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,photographer,specimen_state,device,device_type,n_photos
2017:06526,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Gilles MAHÉ,2019,Basile PETIT,pinned,Smartphone Samsung s10,S,5
2017:06526,collection,,,2017,Arthropologia Lyon,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,terrestris,drone,Gilles MAHÉ,2019,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,5
2019.00316,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Gilles MAHÉ,2019,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.00316,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Gilles MAHÉ,2019,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.01788,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2019,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.01788,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2019,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02059,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02059,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02073,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02073,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02080,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02080,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02118,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2019,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02118,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Frederic VYGHEN,2019,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02167,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02167,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02175,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02175,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02184,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02184,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,fondatrice,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2019.02188,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2019.02188,collection,,,2019,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,worker,Yvan BRUGEROLLES,2022,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2020.00254,collection,,,2020,Arthropologia,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,drone,Frederic VYGHEN,2020,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2020.00254,collection,,,2020,Arthropologia,net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pyrenaeus,drone,Frederic VYGHEN,2020,Basile PETIT,pinned,Canon EOS 70D - 100mm macro,P,2
2020.00294,collection,,,2020,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2020.00294,collection,,,2020,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2020.00301,collection,,,2020,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,2020,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2020.00301,collection,,,2020,Arthropologia Lyon (stock pratorum),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,pratorum,drone,Frederic VYGHEN,2020,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2020.00339,collection,,,2020,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2020.00339,collection,,,2020,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2020.00377,collection,,,2020,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,ruderarius,worker,Frederic VYGHEN,2020,Basile PETIT,pinned,Smartphone Samsung s10,S,3
2020.00377,collection,,,2020,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,ruderarius,worker,Frederic VYGHEN,2020,Basile PETIT,pinned,Canon EOS 70D - 40mm,P,2
2020.00410,collection,,,2020,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020,Basile PETIT,pinned,Smartphone Samsung s10,S,3
