inv_id,source_type,genus,species,caste,identifier_level,onsite_id,onsite_id_time_s,protocol_time_s,protocol_comment,ia1_id,ia1_top1,ia1_top3,ia2_id,ia2_top1,ia2_top3,ia3_id,ia3_top1,ia3_top3,dd,mm,yyyy,capture_locality,photographer,specimen_state,device,device_type,n_photos
WB1_23_0097,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,76.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0098,terrain,Bombus,pratorum,,accomplished amateur,pratorum,10.0,92.0,,,,,pratorum,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0099,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,55.0,,,,,lapidarius,1.0,1.0,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0100,terrain,Bombus,,,accomplished amateur,,,,,,,,,,,,,,21,7,2023,La puch,Basile Petit,alive,Samsung s10,S,3
WB1_23_0106,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,108.0,,pratorum,0.0,1.0,ruderarius,0.0,1.0,lapidarius,1.0,1.0,22,7,2023,St Didier,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0107,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,120.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,pratorum,0.0,1.0,22,7,2023,St Didier,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0108,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,99.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,pratorum,0.0,1.0,22,7,2023,St Didier,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0109,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,102.0,,pratorum,0.0,1.0,Pyreaneus,0.0,1.0,sylvarum,0.0,0.0,22,7,2023,St Didier,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0110,terrain,Bombus,sylvarum,,accomplished amateur,sylvarum,5.0,210.0,,pratorum,0.0,1.0,sylvarum,1.0,1.0,pratorum,0.0,1.0,22,7,2023,S13,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0111,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,120.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,lapidarius,1.0,1.0,22,7,2023,S13,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0112,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,10.0,80.0,,pratorum,0.0,1.0,monticola,0.0,1.0,pratorum,0.0,1.0,22,7,2023,S13,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0113,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,65.0,,sylvarum,0.0,0.0,sylvarum,0.0,0.0,pyrenaeus,0.0,1.0,22,7,2023,S13,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0114,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,100.0,,pratorum,0.0,1.0,lapidarius,1.0,1.0,wurflenii,0.0,1.0,22,7,2023,S13,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0115,terrain,Bombus,lapidarius,,accomplished amateur,lapidarius,5.0,85.0,,pratorum,0.0,0.0,ruderarius,0.0,1.0,ruderarius,0.0,0.0,22,7,2023,S13,Victor Redon,alive,Fairphone 3+,S,3
WB1_23_0116,terrain,Bombus,soroeensis,,pro,soroeensis,5.0,140.0,,lapidarius,0.0,0.0,lapidarius,0.0,0.0,ruderarius,0.0,0.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0117,terrain,Bombus,pratorum,,pro,pratorum,5.0,60.0,,pratorum,1.0,1.0,pratorum,1.0,1.0,pratorum,1.0,1.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0118,terrain,Bombus,lapidarius,,pro,lapidarius,5.0,62.0,,lapidarius,1.0,1.0,Monticola,0.0,1.0,monticola,0.0,1.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0119,terrain,Bombus,pratorum,,pro,pratorum,5.0,67.0,,pratorum,1.0,1.0,Lapidarius,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
WB1_23_0120,terrain,Bombus,soroeensis,,pro,soroeensis,10.0,60.0,,lapidarius,0.0,0.0,Lapidarius,0.0,0.0,lapidarius,0.0,0.0,22,7,2023,S13,Mehdi Issertes,alive,Iphone 12,S,3
