idx,image,status,x,y,w,h,theta,confidence,similarity,aspect_ratio,n_detections,input_path,output_path
79,FR15ABOM210821212_S3.jpg,OK,1154,2030,453,1126,0.0,0.888,0.899,2.49,3,data\images\wide\organized\Bombus_confusus\male\FR15ABOM210821212_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM210821212_S3.jpg
80,FR15ABOM220821043_P1.JPG,OK,2487,1841,584,1458,0.0,0.727,0.937,2.5,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821043_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821043_P1.JPG
81,FR15ABOM220821043_P2.JPG,OK,2534,1860,584,1477,0.0,0.816,0.931,2.53,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821043_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821043_P2.JPG
82,FR15ABOM220821043_S1.jpg,OK,1447,2219,421,1083,0.0,0.864,0.911,2.57,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821043_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821043_S1.jpg
83,FR15ABOM220821043_S2.jpg,OK,1327,2073,413,1063,0.0,0.835,0.92,2.57,3,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821043_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821043_S2.jpg
84,FR15ABOM220821043_S3.jpg,OK,1368,2195,406,1020,0.0,0.759,0.907,2.51,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821043_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821043_S3.jpg
85,FR15ABOM220821068_P1.JPG,OK,2513,1822,584,1396,0.0,0.82,0.926,2.39,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821068_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821068_P1.JPG
86,FR15ABOM220821068_P2.JPG,OK,2591,1822,584,1401,0.0,0.75,0.942,2.4,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821068_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821068_P2.JPG
87,FR15ABOM220821068_S1.jpg,OK,1282,2075,417,1004,0.0,0.84,0.856,2.41,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821068_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821068_S1.jpg
88,FR15ABOM220821068_S2.jpg,OK,1250,2107,417,1036,0.0,0.872,0.894,2.48,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821068_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821068_S2.jpg
89,FR15ABOM220821068_S3.jpg,OK,1148,2240,402,988,0.0,0.856,0.898,2.46,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821068_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821068_S3.jpg
90,FR15ABOM220821070_P1.JPG,OK,2520,1765,584,1373,0.0,0.784,0.945,2.35,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821070_P1.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821070_P1.JPG
91,FR15ABOM220821070_P2.JPG,OK,2591,1784,584,1363,0.0,0.846,0.947,2.33,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821070_P2.JPG,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821070_P2.JPG
92,FR15ABOM220821070_S1.jpg,OK,1203,1750,461,1099,0.0,0.847,0.918,2.38,1,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821070_S1.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821070_S1.jpg
93,FR15ABOM220821070_S2.jpg,OK,1169,1754,469,1095,0.0,0.838,0.916,2.34,2,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821070_S2.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821070_S2.jpg
94,FR15ABOM220821070_S3.jpg,OK,1203,1805,445,1099,0.0,0.806,0.905,2.47,4,data\images\wide\organized\Bombus_confusus\male\FR15ABOM220821070_S3.jpg,data\images\crop\organized\Bombus_confusus\male\FR15ABOM220821070_S3.jpg
95,NoName8_P1.JPG,OK,2475,1727,470,1092,0.0,0.731,0.939,2.32,2,data\images\wide\organized\Bombus_confusus\male\NoName8_P1.JPG,data\images\crop\organized\Bombus_confusus\male\NoName8_P1.JPG
96,NoName8_P2.JPG,OK,2496,1800,466,1097,0.0,0.571,0.933,2.36,2,data\images\wide\organized\Bombus_confusus\male\NoName8_P2.JPG,data\images\crop\organized\Bombus_confusus\male\NoName8_P2.JPG
97,NoName8_S1.jpg,OK,1419,1825,453,1059,0.0,0.863,0.924,2.34,5,data\images\wide\organized\Bombus_confusus\male\NoName8_S1.jpg,data\images\crop\organized\Bombus_confusus\male\NoName8_S1.jpg
98,NoName8_S2.jpg,OK,1366,1943,437,1016,0.0,0.773,0.898,2.32,3,data\images\wide\organized\Bombus_confusus\male\NoName8_S2.jpg,data\images\crop\organized\Bombus_confusus\male\NoName8_S2.jpg
99,NoName8_S3.jpg,OK,1227,1880,437,1020,0.0,0.877,0.899,2.33,2,data\images\wide\organized\Bombus_confusus\male\NoName8_S3.jpg,data\images\crop\organized\Bombus_confusus\male\NoName8_S3.jpg
100,FR15ABOM060621003_P1.JPG,OK,2420,1793,717,1515,0.0,0.68,0.941,2.11,1,data\images\wide\organized\Bombus_confusus\queen\FR15ABOM060621003_P1.JPG,data\images\crop\organized\Bombus_confusus\queen\FR15ABOM060621003_P1.JPG
101,FR15ABOM060621003_P2.JPG,OK,2506,1812,717,1496,0.0,0.609,0.952,2.09,1,data\images\wide\organized\Bombus_confusus\queen\FR15ABOM060621003_P2.JPG,data\images\crop\organized\Bombus_confusus\queen\FR15ABOM060621003_P2.JPG
102,FR15ABOM060621003_S1.jpg,OK,1353,1959,532,1114,0.0,0.721,0.868,2.1,3,data\images\wide\organized\Bombus_confusus\queen\FR15ABOM060621003_S1.jpg,data\images\crop\organized\Bombus_confusus\queen\FR15ABOM060621003_S1.jpg
103,FR15ABOM060621003_S2.jpg,OK,1282,1957,528,1130,0.0,0.736,0.872,2.14,2,data\images\wide\organized\Bombus_confusus\queen\FR15ABOM060621003_S2.jpg,data\images\crop\organized\Bombus_confusus\queen\FR15ABOM060621003_S2.jpg
104,FR15ABOM060621003_S3.jpg,OK,1282,1872,547,1162,0.0,0.822,0.882,2.12,3,data\images\wide\organized\Bombus_confusus\queen\FR15ABOM060621003_S3.jpg,data\images\crop\organized\Bombus_confusus\queen\FR15ABOM060621003_S3.jpg
