num_inv,collection_origine,mode_capture,jj,mm,aaaa,region,localite,collecteur,ordre,famille,genre,espece,caste,identificateur,année_identification,photographe,specimen,appareil,n_photos
2019.02059,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02059,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.02073,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02073,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.02080,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02080,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Frederic VYGHEN,,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.02118,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Fondatrice,Frederic VYGHEN,2019,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02118,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Fondatrice,Frederic VYGHEN,2019,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.02167,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02167,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.02175,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.02175,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Mâle,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02184,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Fondatrice,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02184,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Fondatrice,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
2019.02188,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Smartphone Samsung s10,3
2019.02188,Collection Arthropologia Lyon (stock pratorum),Filet,,,2019,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,Pratorum,Ouvrière,Yvan BRUGEROLLES,2022,Basile PETIT,Epinglé,Canon EOS 70D - 40mm,2
