photo_id,inv_id,device_type,device,photo_index,photographer,ext,content_hash,file_size_bytes,path,status,status_reason
ARLY_0016_S_2,ARLY_0016,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,e16b9556e57ffa0b,2126064,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_S_2.jpg,OK,
ARLY_0016_S_3,ARLY_0016,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,bcbd7139c124f569,2132779,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_S_3.jpg,OK,
ARLY_0016_S_4,ARLY_0016,S,Canon EOS 70D - 40mm,4,Basile PETIT,.jpg,161dfd75320d99b7,2102230,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_S_4.jpg,OK,
ARLY_0016_S_5,ARLY_0016,S,Canon EOS 70D - 40mm,5,Basile PETIT,.jpg,ed5ac5a3dedbd556,2133282,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0016_S_5.jpg,OK,
ARLY_0028_P_1,ARLY_0028,P,Smartphone Samsung s10,1,Basile PETIT,.jpg,0b8d57d8876590c8,1320207,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0028_P_1.jpg,OK,
ARLY_0028_P_2,ARLY_0028,P,Smartphone Samsung s10,2,Basile PETIT,.jpg,0401963389a1bfe9,1298772,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0028_P_2.jpg,OK,
ARLY_0028_P_3,ARLY_0028,P,Smartphone Samsung s10,3,Basile PETIT,.jpg,cccb122cef76d185,1276817,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0028_P_3.jpg,OK,
ARLY_0028_S_1,ARLY_0028,S,Smartphone Samsung s10,1,Basile PETIT,.jpg,4932f321a76bdb13,2139156,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0028_S_1.jpg,OK,
ARLY_0028_S_2,ARLY_0028,S,Smartphone Samsung s10,2,Basile PETIT,.jpg,dae64bca9912a600,1900137,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0028_S_2.jpg,OK,
ARLY_0028_S_3,ARLY_0028,S,Smartphone Samsung s10,3,Basile PETIT,.jpg,4456621d8d9a54dc,2160506,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0028_S_3.jpg,OK,
ARLY_0029_P_1,ARLY_0029,P,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,78ad772409bd030a,1428568,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0029_P_1.jpg,OK,
ARLY_0029_P_2,ARLY_0029,P,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,40b43a18b67c6a26,1409908,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0029_P_2.jpg,OK,
ARLY_0029_P_3,ARLY_0029,P,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,ceb496f734de14b8,1435281,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0029_P_3.jpg,OK,
ARLY_0029_S_1,ARLY_0029,S,Canon EOS 70D - 40mm,1,Basile PETIT,.jpg,e5d8107702adf129,1660620,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0029_S_1.jpg,OK,
ARLY_0029_S_2,ARLY_0029,S,Canon EOS 70D - 40mm,2,Basile PETIT,.jpg,0d315f752bb8552e,2201962,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0029_S_2.jpg,OK,
ARLY_0029_S_3,ARLY_0029,S,Canon EOS 70D - 40mm,3,Basile PETIT,.jpg,934e46155567f875,2059270,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0029_S_3.jpg,OK,
ARLY_0036_P_1,ARLY_0036,P,Smartphone Samsung s10,1,Basile PETIT,.jpg,d2b390ef817532c6,1369066,/Volumes/EXT DATA/IDMB/derived/Bombus/collection/images/ARLY_0036_P_1.jpg,OK,
