inv_id,dd,mm,yyyy,collection_origin,capture_mode,capture_region,capture_locality,collector,order,family,genus,species,caste,identifier,identification_year,specimen_state,device.1,n_photos_P,n_photos_S
ARLY_SORO_0007,25.0,8.0,2022.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,Saulzet-le-Froid,F.FOURNIER,Hymenoptera,Apidae,Bombus,pomorum,drone,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0008,,,2012.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,Hugues MOURET,Hymenoptera,Apidae,Bombus,sylvarum,worker,Gilles MAHÉ,2012.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0009,,,2017.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,worker,Gilles MAHÉ,2019.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0010,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0011,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0012,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,ruderarius,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0013,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0014,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0015,,,,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0016,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,drone,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0017,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,worker,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0018,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,worker,Frederic VYGHEN,2021.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0019,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,worker,Yvan BRUGEROLLES,2022.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0020,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,soroeensis,drone,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0021,,,2020.0,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,drone,Frederic VYGHEN,2020.0,pinned,Smartphone Samsung s10,2,3
ARLY_SORO_0022,,,,Arthropologia Lyon (stock soroeensis),net,Auvergne-Rhônes Alpes,,,Hymenoptera,Apidae,Bombus,sylvarum,fondatrice,Frederic VYGHEN,2018.0,pinned,Smartphone Samsung s10,2,3
