id,image,status,score,reason
743808533602317835,data\images\crop\organized\organized_ABAURA8606_S3_0a5289eba245360b.jpg,OK,13.481726409154662,
761324688389290193,data\images\crop\organized\organized_CollecYvan17_P1_0a90c4c53a2db8d1.jpg,OK,13.626755766989474,
768501666673806107,data\images\crop\organized\organized_2020.03930_S1_0aaa4431b3634b1b.jpg,OK,13.4877659055919,
772273665441585137,data\images\crop\organized\organized_FR73ABOM130722065_P1_0ab7aace9a08d7f1.jpg,OK,13.595789211720476,
776017227309118511,data\images\crop\organized\organized_ABAURA8151_S3_0ac4f78e8557f42f.jpg,OK,13.670670140749024,
778005610678591379,data\images\crop\organized\organized_VAN-2019.00795_S3_0acc07fb19c21f93.jpg,OK,12.48839883846096,
781821500589758836,data\images\crop\organized\organized_FR15ABOM170821120_P2_0ad99683346a5974.jpg,OK,12.807984500962514,
794933136347839504,data\images\crop\organized\organized_NoName2_S1_0b082b79cc333c10.jpg,OK,12.473500862464126,
798928340251441728,data\images\crop\organized\organized_NoName5_S3_0b165d17b1adfa40.jpg,OK,13.524717022381754,
800296979064029088,data\images\crop\organized\organized_FR15ABOM170821074_P2_0b1b39dcbfedffa0.jpg,OK,12.42571761990616,
801282260485227957,data\images\crop\organized\organized_CD388013_P1_0b1eb9f8750b45b5.jpg,OK,12.48208592447923,
809377674155020220,data\images\crop\terrain\terrain_WB1_23_0117_mehdi3_0b3b7cb4d5244fbc.jpg,OK,13.72461759269148,
828210310426226888,data\images\crop\organized\organized_OPIE_Lapi_230620_P2_0b7e64e3a84570c8.jpg,OK,13.61053800538942,
832418093629542600,data\images\crop\organized\organized_2020.00470_P1_0b8d57d8876590c8.jpg,OK,12.652446888093584,
833048872129162054,data\images\crop\organized\organized_OPIE_Lapi_230620b_S1_0b8f958917cc6b46.jpg,OK,13.572753323271538,
850684014527726181,data\images\crop\organized\organized_CD388860_S3_0bce3c9aa6074265.jpg,OK,13.59859310805269,
852314764455122837,data\images\crop\organized\organized_FR05ABOM220722027_P1_0bd407c3342b1795.jpg,OK,13.556221754465701,
858551788049769490,data\images\crop\organized\organized_N628_S5_0bea304d6bfba412.jpg,FAILED,inf,"16 landmarks, 18 attendus"
859413387459265601,data\images\crop\organized\organized_FR73ABOM130722063_S1_0bed3fec2ab98441.jpg,OK,13.545625512101985,
863501306950862096,data\images\crop\organized\organized_CD388623e_P1_0bfbc5dd17e44510.jpg,FAILED,inf,"17 landmarks, 18 attendus"
872193177287244272,data\images\crop\organized\organized_ABAURA8885d_P1_0c1aa712dbb9b9f0.jpg,OK,13.573795916243292,
872925395648322729,data\images\crop\organized\organized_CD388769_S2_0c1d4105bb091ca9.jpg,OK,13.741766479252748,
875237605529433417,data\images\crop\organized\organized_OPIE_Lapi_7B_P2_0c2577f70ba53549.jpg,OK,13.440547157951139,
877408154234153799,data\images\crop\organized\organized_VAN-2019.00785_S3_0c2d2e114c286b47.jpg,OK,6.0266371684888576,
879055642352653757,data\images\crop\organized\organized_ABAURA8205b_S2_0c330873043b95bd.jpg,OK,12.565203616829214,
880865214958556725,data\images\crop\organized\organized_CollecYvan1_S1_0c39763ef89a5635.jpg,OK,13.652563744737781,
886588203233011560,data\images\crop\terrain\terrain_WB1_23_0096_basile3_0c4dcb4603c16768.jpg,OK,12.180286357489235,
896162266994940576,data\images\crop\organized\organized_15G2021-1826_P1_0c6fced571579aa0.jpg,OK,13.483093420464149,
898243264174976325,data\images\crop\organized\organized_CD388821e_S1_0c77337d5b096d45.jpg,OK,13.64019529639435,
910704911835895166,data\images\crop\organized\organized_CD388623_S2_0ca3794acd2e957e.jpg,OK,13.71687948184827,
913606491606241365,data\images\crop\organized\organized_OPIE_Lapi_180702_S3_0cadc8437cae5055.jpg,FAILED,inf,"17 landmarks, 18 attendus"
913678571075117376,data\images\crop\terrain\terrain_WB1_23_0098_basile3_0cae09d1cbd1a140.jpg,OK,13.602824042442002,
927336816271579525,data\images\crop\organized\organized_ABAURA5676_P1_0cde8febd1025985.jpg,FAILED,inf,"14 landmarks, 18 attendus"
942940982466021036,data\images\crop\organized\organized_CD387577_S3_0d15ffd3e00b86ac.jpg,OK,13.628522013253116,
945661501146640463,data\images\crop\organized\organized_N815_P5_0d1faa1ffd9bb04f.jpg,OK,5.428416803146042,
955840298482083363,data\images\crop\organized\organized_FR15ABOM210821212_S1_0d43d3afed072623.jpg,OK,12.799306468658816,
956836808145338691,data\images\crop\terrain\terrain_WB1_23_0040_guilhem3_0d475e01e9858143.jpg,OK,13.606058206569516,
959298531819195044,data\images\crop\organized\organized_FR04ABOM220722001_S1_0d501cee9ea30aa4.jpg,OK,12.656237335954582,
967607391204903129,data\images\crop\organized\organized_ABAURA8885b_S2_0d6da1cbb2cf88d9.jpg,OK,6.104931174919586,
971317062429240306,data\images\crop\organized\organized_FR73ABOM130722002_S1_0d7acfb8d65eebf2.jpg,OK,13.667707684283588,
988467511626707534,data\images\crop\organized\organized_FR15ABOM100721032_S3_0db7bdf6f686324e.jpg,OK,7.86432415974353,
1003970787634399314,data\images\crop\organized\organized_FR73ABOM200722030_S1_0deed21cb1d14852.jpg,OK,13.590591847821871,
1005294617802844740,data\images\crop\organized\organized_FR15_ABOM180720047_S3_0df38620ecc02a44.jpg,OK,12.542565981328318,
1013833073519454295,data\images\crop\organized\organized_CD388865e_S1_0e11dbcf10ab6857.jpg,OK,13.599318668952218,
