original_id,source_type,photographer,device_type,shot_index,raw_path,ext,file_size_bytes,content_hash,status,status_reason
FR15_ABOM14080820006,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM14080820006_S1.jpg,.jpg,1864385,a0b51894c5057c38,OK,
FR15_ABOM14080820006,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM14080820006_S2.jpg,.jpg,1713511,7de79bc91444355d,OK,
FR15_ABOM14080820006,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM14080820006_S3.jpg,.jpg,1673754,71185eac93dec780,OK,
FR15_ABOM170820009,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820009_P1.JPG,.jpg,5065875,5f56dc959b71ef98,OK,
FR15_ABOM170820009,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820009_P2.JPG,.jpg,4891389,a2b7c1726365b734,OK,
FR15_ABOM170820009,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820009_S1.jpg,.jpg,2001106,3d01adc04410b1f4,OK,
FR15_ABOM170820009,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820009_S2.jpg,.jpg,1785561,350f2659fefefc4b,OK,
FR15_ABOM170820009,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820009_S3.jpg,.jpg,1858345,ab00461f28cbe682,OK,
FR15_ABOM170820030,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820030_P1.JPG,.jpg,5000377,eb239601f0c34818,OK,
FR15_ABOM170820030,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820030_P2.JPG,.jpg,5097551,42d2003ab3c0cca0,OK,
FR15_ABOM170820030,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820030_S1.jpg,.jpg,2003290,f979b0c018a8c0c2,OK,
FR15_ABOM170820030,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820030_S2.jpg,.jpg,1664316,fb2af84cc0e383d9,OK,
FR15_ABOM170820030,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/FR15_ABOM170820030_S3.jpg,.jpg,1783737,52c1931fbedb2108,OK,
NoName8,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/NoName8_P1.JPG,.jpg,5415483,c2d29f14bbbdba0e,OK,
NoName8,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/NoName8_P2.JPG,.jpg,5607872,727a8d914506c3ea,OK,
NoName8,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/NoName8_S1.jpg,.jpg,1903899,b8c0ea8578307710,OK,
NoName8,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/NoName8_S2.jpg,.jpg,1639575,60cde60b34950a6b,OK,
NoName8,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/male/NoName8_S3.jpg,.jpg,1790773,6b63cd1b766986e2,OK,
FR15ABOM060621003,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/queen/FR15ABOM060621003_P1.JPG,.jpg,5048772,d4f474dc661e36cb,OK,
FR15ABOM060621003,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/queen/FR15ABOM060621003_P2.JPG,.jpg,5046393,01f0dd9dc03775eb,OK,
FR15ABOM060621003,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/queen/FR15ABOM060621003_S1.jpg,.jpg,1747398,d176c1636b13fa55,OK,
FR15ABOM060621003,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/queen/FR15ABOM060621003_S2.jpg,.jpg,1904676,3dbe292c8219d455,OK,
FR15ABOM060621003,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/queen/FR15ABOM060621003_S3.jpg,.jpg,1767089,05263db1385c8455,OK,
CollecYvan10,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan10_P1.JPG,.jpg,5095796,47a83d441036f2aa,OK,
CollecYvan10,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan10_P2.JPG,.jpg,5207095,c846b8362a0ca8ff,OK,
CollecYvan10,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan10_S1.jpg,.jpg,1744771,e77dee5c4091945d,OK,
CollecYvan10,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan10_S2.jpg,.jpg,1713510,eb390d81ab946035,OK,
CollecYvan10,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan10_S3.jpg,.jpg,1559536,0942fc10a03589b8,OK,
CollecYvan11,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan11_P1.JPG,.jpg,5183474,2ae8e84151225977,OK,
CollecYvan11,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan11_P2.JPG,.jpg,5150394,c67535cce48ceb2c,OK,
CollecYvan11,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan11_S1.jpg,.jpg,1702386,78dcb9cf1761b598,OK,
CollecYvan11,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan11_S2.jpg,.jpg,1824161,fa2aa677ab3c1f1d,OK,
CollecYvan11,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan11_S3.jpg,.jpg,1623299,becd474c3206705f,OK,
CollecYvan12,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan12_P1.JPG,.jpg,4900516,fafa713d61124322,OK,
CollecYvan12,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan12_P2.JPG,.jpg,4896862,0927aa83bc437238,OK,
CollecYvan12,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan12_S1.jpg,.jpg,1688546,769f117876ea5367,OK,
CollecYvan12,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan12_S2.jpg,.jpg,1804820,338567b2272eaeb9,OK,
CollecYvan12,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan12_S3.jpg,.jpg,1530144,6e70625756fb05b9,OK,
CollecYvan8,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan8_P1.JPG,.jpg,5518594,2a7856876e077752,OK,
CollecYvan8,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan8_P2.JPG,.jpg,5682637,807224ed78fa2dd6,OK,
CollecYvan8,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan8_S1.jpg,.jpg,1710341,03721dcaab9dea2c,OK,
CollecYvan8,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan8_S2.jpg,.jpg,1768934,8191aad3a636aabd,OK,
CollecYvan8,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan8_S3.jpg,.jpg,1708388,6439f9806376196e,OK,
CollecYvan9,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan9_P1.JPG,.jpg,5421409,c4ccac306ab1f113,OK,
CollecYvan9,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan9_P2.JPG,.jpg,5463126,3d0f7499e948c0a1,OK,
CollecYvan9,collection,,S,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan9_S1.jpg,.jpg,1772908,ad558dba47d9577d,OK,
CollecYvan9,collection,,S,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan9_S2.jpg,.jpg,1854460,d9145a0900f00a78,OK,
CollecYvan9,collection,,S,3,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/CollecYvan9_S3.jpg,.jpg,1652753,2b9453d824aa8777,OK,
FR15ABOM170821018,collection,,P,1,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/FR15ABOM170821018_P1.JPG,.jpg,4873658,49fde66284a224e3,OK,
FR15ABOM170821018,collection,,P,2,/Volumes/EXT DATA/IDMB/images/Bombus/collection/Bombus_confusus/worker/FR15ABOM170821018_P2.JPG,.jpg,4937368,57f04c69d5263995,OK,
