tps_id,inv_id,species,caste,device,device_tag
292,ARLY_PRAT_0040,pratorum,drone,Smartphone Samsung s10,S1
293,ARLY_PRAT_0040,pratorum,drone,Smartphone Samsung s10,S2
294,ARLY_PRAT_0040,pratorum,drone,Smartphone Samsung s10,S3
295,ARLY_PRAT_0041,pratorum,worker,Canon EOS 70D - 40mm,P1
296,ARLY_PRAT_0041,pratorum,worker,Canon EOS 70D - 40mm,P2
297,ARLY_PRAT_0041,pratorum,worker,Canon EOS 70D - 40mm,S1
298,ARLY_PRAT_0041,pratorum,worker,Canon EOS 70D - 40mm,S2
299,ARLY_PRAT_0041,pratorum,worker,Canon EOS 70D - 40mm,S3
300,ARLY_PRAT_0042,monticola,drone,Smartphone Samsung s10,P1
301,ARLY_PRAT_0042,monticola,drone,Smartphone Samsung s10,P2
302,ARLY_PRAT_0042,monticola,drone,Smartphone Samsung s10,S1
303,ARLY_PRAT_0042,monticola,drone,Smartphone Samsung s10,S2
304,ARLY_PRAT_0042,monticola,drone,Smartphone Samsung s10,S3
305,ARLY_PRAT_0043,monticola,drone,Smartphone Samsung s10,P1
306,ARLY_PRAT_0043,monticola,drone,Smartphone Samsung s10,P2
307,ARLY_PRAT_0043,monticola,drone,Smartphone Samsung s10,S1
308,ARLY_PRAT_0043,monticola,drone,Smartphone Samsung s10,S3
309,ARLY_PRAT_0044,pratorum,drone,Smartphone Samsung s10,P1
310,ARLY_PRAT_0044,pratorum,drone,Smartphone Samsung s10,P2
311,ARLY_PRAT_0044,pratorum,drone,Smartphone Samsung s10,S1
312,ARLY_PRAT_0044,pratorum,drone,Smartphone Samsung s10,S2
313,ARLY_PRAT_0044,pratorum,drone,Smartphone Samsung s10,S3
314,ARLY_PRAT_0045,pratorum,drone,Smartphone Samsung s10,P1
315,ARLY_PRAT_0045,pratorum,drone,Smartphone Samsung s10,P2
316,ARLY_PRAT_0045,pratorum,drone,Smartphone Samsung s10,S1
317,ARLY_PRAT_0045,pratorum,drone,Smartphone Samsung s10,S2
318,ARLY_PRAT_0045,pratorum,drone,Smartphone Samsung s10,S3
319,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,P1
320,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,P2
321,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,P3
322,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,P4
323,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,S1
324,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,S2
325,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,S3
326,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,S4
327,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,S5
328,ARLY_PRAT_0046,pratorum,drone,Smartphone Samsung s10,S6
329,ARLY_PRAT_0047,monticola,drone,Smartphone Samsung s10,P1
330,ARLY_PRAT_0047,monticola,drone,Smartphone Samsung s10,P2
331,ARLY_PRAT_0047,monticola,drone,Smartphone Samsung s10,S1
332,ARLY_PRAT_0047,monticola,drone,Smartphone Samsung s10,S2
333,ARLY_PRAT_0047,monticola,drone,Smartphone Samsung s10,S3
334,ARLY_PRAT_0048,monticola,worker,Smartphone Samsung s10,P1
335,ARLY_PRAT_0048,monticola,worker,Smartphone Samsung s10,P2
336,ARLY_PRAT_0048,monticola,worker,Smartphone Samsung s10,S1
337,ARLY_PRAT_0048,monticola,worker,Smartphone Samsung s10,S2
338,ARLY_PRAT_0048,monticola,worker,Smartphone Samsung s10,S3
339,ARLY_PRAT_0049,monticola,drone,Smartphone Samsung s10,P1
340,ARLY_PRAT_0049,monticola,drone,Smartphone Samsung s10,P2
341,ARLY_PRAT_0049,monticola,drone,Smartphone Samsung s10,S1
342,ARLY_PRAT_0049,monticola,drone,Smartphone Samsung s10,S2
343,ARLY_PRAT_0049,monticola,drone,Smartphone Samsung s10,S3
344,ARLY_PRAT_0050,monticola,worker,Smartphone Samsung s10,P1
345,ARLY_PRAT_0050,monticola,worker,Smartphone Samsung s10,P2
346,ARLY_PRAT_0050,monticola,worker,Smartphone Samsung s10,S1
347,ARLY_PRAT_0050,monticola,worker,Smartphone Samsung s10,S2
348,ARLY_PRAT_0050,monticola,worker,Smartphone Samsung s10,S3
349,ARLY_PRAT_0051,monticola,worker,Smartphone Samsung s10,P1
350,ARLY_PRAT_0051,monticola,worker,Smartphone Samsung s10,P2
351,ARLY_PRAT_0051,monticola,worker,Smartphone Samsung s10,S1
352,ARLY_PRAT_0051,monticola,worker,Smartphone Samsung s10,S2
353,ARLY_PRAT_0051,monticola,worker,Smartphone Samsung s10,S3
354,ARLY_PRAT_0052,monticola,worker,Smartphone Samsung s10,P1
355,ARLY_PRAT_0052,monticola,worker,Smartphone Samsung s10,P2
356,ARLY_PRAT_0052,monticola,worker,Smartphone Samsung s10,S1
357,ARLY_PRAT_0052,monticola,worker,Smartphone Samsung s10,S2
358,ARLY_PRAT_0052,monticola,worker,Smartphone Samsung s10,S3
359,ARLY_PRAT_0053,pyrenaeus,worker,Smartphone Samsung s10,P2
360,ARLY_PRAT_0053,pyrenaeus,worker,Smartphone Samsung s10,S1
361,ARLY_PRAT_0053,pyrenaeus,worker,Smartphone Samsung s10,S2
362,ARLY_PRAT_0053,pyrenaeus,worker,Smartphone Samsung s10,S3
363,ARLY_PRAT_0054,pratorum,worker,Canon EOS 70D - 40mm,P1
364,ARLY_PRAT_0054,pratorum,worker,Canon EOS 70D - 40mm,P2
