photo_id,inv_id,tps_id,image_path,status,registration_cost,n_outlier_landmarks,error_reason,processing_time_s
ISSERTES_0167_P_1,ISSERTES_0167,2392,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0167_P_1.jpg,OK,0.0046490143711282,0.0,,0.0011
ISSERTES_0167_P_2,ISSERTES_0167,2393,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0167_P_2.jpg,OK,0.0046348856845917,0.0,,0.0011
ISSERTES_0167_S_1,ISSERTES_0167,2394,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0167_S_1.jpg,OK,0.0046146398467089,0.0,,0.0012
ISSERTES_0167_S_2,ISSERTES_0167,2395,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0167_S_2.jpg,OK,0.0045999064309174,0.0,,0.0009
ISSERTES_0168_P_1,ISSERTES_0168,2396,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0168_P_1.jpg,OK,0.0044995434156165,0.0,,0.001
ISSERTES_0168_P_2,ISSERTES_0168,2397,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0168_P_2.jpg,OK,0.0044898513714647,0.0,,0.001
ISSERTES_0168_S_1,ISSERTES_0168,2398,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0168_S_1.jpg,OK,0.0044139338658977,0.0,,0.001
ISSERTES_0168_S_2,ISSERTES_0168,2399,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0168_S_2.jpg,OK,0.0043944105422338,0.0,,0.0011
ISSERTES_0168_S_3,ISSERTES_0168,2400,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0168_S_3.jpg,OK,0.0044103935440416,0.0,,0.001
ISSERTES_0169_P_1,ISSERTES_0169,2401,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0169_P_1.jpg,OK,0.0046510619025976,0.0,,0.001
ISSERTES_0169_P_2,ISSERTES_0169,2402,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0169_P_2.jpg,OK,0.0046242780124952,0.0,,0.001
ISSERTES_0169_S_1,ISSERTES_0169,2403,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0169_S_1.jpg,OK,0.0047868881991406,0.0,,0.001
ISSERTES_0169_S_2,ISSERTES_0169,2404,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0169_S_2.jpg,OK,0.0047461610825887,0.0,,0.0011
ISSERTES_0169_S_3,ISSERTES_0169,2405,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0169_S_3.jpg,OK,0.0047604747225405,0.0,,0.0011
ISSERTES_0170_P_1,ISSERTES_0170,2406,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0170_P_1.jpg,OK,0.0044020196094085,0.0,,0.0011
ISSERTES_0170_P_2,ISSERTES_0170,2407,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0170_P_2.jpg,OK,0.0044058743705241,0.0,,0.0011
ISSERTES_0170_S_1,ISSERTES_0170,2408,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0170_S_1.jpg,OK,0.0044405596779204,0.0,,0.0009
ISSERTES_0170_S_2,ISSERTES_0170,2409,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0170_S_2.jpg,OK,0.0044195877185829,0.0,,0.001
ISSERTES_0170_S_3,ISSERTES_0170,2410,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0170_S_3.jpg,OK,0.0044567313062846,0.0,,0.001
ISSERTES_0171_P_1,ISSERTES_0171,2411,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0171_P_1.jpg,OK,0.0046398132935234,0.0,,0.001
ISSERTES_0171_P_2,ISSERTES_0171,2412,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0171_P_2.jpg,OK,0.0046505321802303,0.0,,0.001
ISSERTES_0171_S_1,ISSERTES_0171,2413,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0171_S_1.jpg,OK,0.0045917494824907,0.0,,0.0011
ISSERTES_0171_S_2,ISSERTES_0171,2414,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0171_S_2.jpg,OK,0.0046004551964516,0.0,,0.001
ISSERTES_0171_S_3,ISSERTES_0171,2415,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0171_S_3.jpg,OK,0.0046475185262859,0.0,,0.0012
ISSERTES_0172_P_1,ISSERTES_0172,2416,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0172_P_1.jpg,OK,0.0045319409550816,0.0,,0.0012
ISSERTES_0172_P_2,ISSERTES_0172,2417,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0172_P_2.jpg,OK,0.0045333598538869,0.0,,0.0011
ISSERTES_0172_S_1,ISSERTES_0172,2418,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0172_S_1.jpg,OK,0.004631392424587,0.0,,0.001
ISSERTES_0172_S_2,ISSERTES_0172,2419,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0172_S_2.jpg,OK,0.0046158802523564,0.0,,0.001
ISSERTES_0172_S_3,ISSERTES_0172,2420,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0172_S_3.jpg,OK,0.0045695333067437,0.0,,0.001
ISSERTES_0173_P_1,ISSERTES_0173,2421,/Users/superbg/Documents/IEES/idmybee/data/Bombus/collection/extraction/light/images/ISSERTES_0173_P_1.jpg,OK,0.0044020124972191,0.0,,0.001
